commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
47c2e3ba5806eb1564514f6cc29addbe01ae4faf,pycync,1,1,fetchFromGitHub,02f2cb8e0feb4596d20cc52fda73ccee960e3538
fd29e89e92cd57f2dd61b9509116e652e6c73335,sampo,1,1,fetchFromGitHub,02f2cb8e0feb4596d20cc52fda73ccee960e3538
3488184ee710295168ebc83b1b9dce641005e9cc,kaitai-struct-cpp-stl-runtime,1,1,fetchFromGitHub,35f590344ff791e6b1d6d6b8f3523467c9217caf
3b88e192f80788d98452c45e22dc8847a2cdf8f7,kubazip,1,1,fetchFromGitHub,01b6809f7f9d1183a2b3e081f0a1e6f8f415cb09
b68d2ff377d690d2b39ca09b948a74edbf14424c,coq-tools,1,1,fetchPypi,27ac93958969b5f3dccd654b402599cf3de633ac
3fbc67c715303e209fff85e52c0ecce9c94f781e,iio-niri,1,1,fetchFromGitHub,cb82756ecc37fa623f8cf3e88854f9bf7f64af93
1d5d744033d75dbf141a4fe9acd214ba43f03d56,django-treenode,1,1,fetchFromGitHub,cb82756ecc37fa623f8cf3e88854f9bf7f64af93
60da627bb15b895f633c666de55cfe4ce8d906d0,zsh-completion-sync,1,1,fetchFromGitHub,2dad7af78a183b6c486702c18af8a9544f298377
74098b69f3c866c6c958fc1d9039ea0a48692679,flying-carpet,1,1,fetchFromGitHub,2dad7af78a183b6c486702c18af8a9544f298377
a60f412cc6d82e2abbf0558ff9bb6326e6865e35,gdscript-formatter,1,1,fetchFromGitHub,e57b3b16ad8758fd681511a078f35c416a8cc939
401adf55dfc9ce41ad8366b93f348d1690f71e7f,sigsum,1,1,fetchFromGitLab,cb82756ecc37fa623f8cf3e88854f9bf7f64af93
8598b9e738dbb56e6081f8df6e88ce6d8db8a74a,framework-tool-tui,1,1,fetchFromGitHub,a1f79a1770d05af18111fbbe2a3ab2c42c0f6cd0
03ffc669d2d09fb99e8c3dfc11daff94caea7051,discord-rich-presence-plex,1,1,fetchFromGitHub,f4b140d5b253f5e2a1ff4e5506edbf8267724bde
bd8004d72646c60d8e315e0ec34dc6d7e7821408,miro,1,1,fetchFromGitHub,cb82756ecc37fa623f8cf3e88854f9bf7f64af93
c630f97390d65bcf25e61347f08ad9f1017352de,standard-sndhdr,1,1,fetchFromGitHub,cb82756ecc37fa623f8cf3e88854f9bf7f64af93
8a9fa0f5e3d37ec8330d175bdf384949ffff69b7,iocaine,1,1,fetchFromGitea,ca77296380960cd497a765102eeb1356eb80fed0
9e871d5514aaeede9e56602f339503c265d76769,libtatsu,1,1,fetchFromGitHub,63bdb5d90fa2fa11c42f9716ad1e23565613b07c
